iteration,label,operation,gas_used,duration_ms,policy_id,outcome
90,createTestPolicy_90,createTestPolicy,227513,0.646,90,
90,finalize_90,finalize,69676,0.535,90,no_payout
91,createTestPolicy_91,createTestPolicy,227513,0.679,91,
91,expirePolicy_91,expirePolicy,55069,0.502,91,expired
92,createTestPolicy_92,createTestPolicy,227513,0.673,92,
92,finalize_92,finalize,92730,0.616,92,payout
93,createTestPolicy_93,createTestPolicy,227513,0.803,93,
93,expirePolicy_93,expirePolicy,55069,0.476,93,expired
94,createTestPolicy_94,createTestPolicy,227513,0.647,94,
94,finalize_94,finalize,69676,0.502,94,no_payout
95,createTestPolicy_95,createTestPolicy,227513,0.648,95,
95,expirePolicy_95,expirePolicy,55069,0.445,95,expired
96,createTestPolicy_96,createTestPolicy,227513,0.667,96,
96,finalize_96,finalize,92730,0.611,96,payout
97,createTestPolicy_97,createTestPolicy,227513,0.655,97,
97,expirePolicy_97,expirePolicy,55069,0.463,97,expired
98,createTestPolicy_98,createTestPolicy,227513,0.764,98,
98,finalize_98,finalize,69676,0.537,98,no_payout
99,createTestPolicy_99,createTestPolicy,227513,0.692,99,
99,expirePolicy_99,expirePolicy,55069,0.522,99,expired
100,createTestPolicy_100,createTestPolicy,227513,0.647,100,
100,finalize_100,finalize,92730,0.601,100,payout
101,createTestPolicy_101,createTestPolicy,227513,0.691,101,
101,expirePolicy_101,expirePolicy,55069,0.527,101,expired
102,createTestPolicy_102,createTestPolicy,227513,0.740,102,
102,finalize_102,finalize,69676,0.541,102,no_payout
103,createTestPolicy_103,createTestPolicy,227513,0.705,103,
103,expirePolicy_103,expirePolicy,55069,1.396,103,expired
104,createTestPolicy_104,createTestPolicy,227513,0.669,104,
104,finalize_104,finalize,92730,0.592,104,payout
105,createTestPolicy_105,createTestPolicy,227513,0.645,105,
105,expirePolicy_105,expirePolicy,55069,0.455,105,expired
106,createTestPolicy_106,createTestPolicy,227513,0.686,106,
106,finalize_106,finalize,69676,0.523,106,no_payout
107,createTestPolicy_107,createTestPolicy,227513,0.791,107,
107,expirePolicy_107,expirePolicy,55069,0.461,107,expired
108,createTestPolicy_108,createTestPolicy,227513,0.663,108,
108,finalize_108,finalize,92730,0.573,108,payout
109,createTestPolicy_109,createTestPolicy,227513,0.647,109,
109,expirePolicy_109,expirePolicy,55069,0.459,109,expired
